SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,TIME,LOC,SITE,NOTE?,NEWCB,COLORS,NOTE,
1B,WR,N,186142525,GWCS,5550,3,A,9,U,9,9,9,0,0,4,0,0,9,0,75,30.8,300,9/29/11,100,BLCA,5,F,,,,
1B,WR,N,186142526,GWCS,5550,3,S,A,U,9,9,6,0,0,0,0,0,1,0,76,24,300,9/29/11,100,BLCA,5,F,,,,
1B,WR,N,186142527,GWCS,5550,2,H,9,F,W,9,9,0,0,2,0,0,9,0,72,23.2,300,9/29/11,105,BLCA,6,F,,,,
1B,WR,N,186142528,GWCS,5550,2,H,9,F,W,9,9,0,0,1,0,0,9,0,70,19.7,300,9/29/11,105,BLCA,5,F,,,,
1B,WR,N,186142529,GWCS,5550,2,H,9,U,9,9,9,0,0,3,0,0,9,0,73,24.4,300,9/29/11,105,BLCA,5,F,,,,
1B,WR,N,186142530,GWCS,5550,3,A,9,U,9,9,9,0,0,3,0,0,9,0,77,25.5,300,9/29/11,113,BLCA,6,F,,,,
1B,WR,N,186142531,GWCS,5550,3,A,9,U,9,9,9,0,0,1,0,0,9,0,75,24.6,300,9/29/11,113,BLCA,4,F,,,,
1B,WR,N,186142532,GWCS,5550,3,A,S,U,9,9,6,0,0,3,0,0,1,0,72,24,300,9/29/11,113,BLCA,5,F,,,,
1B,WR,N,186142533,GCSP,5570,2,S,J,U,9,9,4,0,0,3,0,0,1,0,75,27.8,300,9/29/11,120,BLCA,1,F,,,,
1B,WR,N,186142534,GWCS,5550,3,A,9,F,W,9,6,0,0,3,0,0,1,0,71,26.2,300,9/29/11,123,BLCA,6,F,,,,
1B,WR,N,186142535,GWCS,5550,2,H,9,F,W,9,9,0,0,4,0,0,1,0,72,23.9,300,9/29/11,123,BLCA,9,F,,,,
1B,WR,N,186142536,GWCS,5550,3,A,9,U,9,9,9,0,0,1,0,0,2,0,76,23.7,300,10/14/11,83,BLCA,10,F,,,,
1C,WR,N,311175076,MGWA,6800,3,M,A,F,A,9,9,0,0,3,3,F,0,0,54,10.1,300,9/8/11,92,BLCA,9,F,,,,
1C,WR,N,311175077,WAVI,6270,2,S,J,U,9,9,3,0,0,4,9,9,9,9,67,999.9,300,9/8/11,92,BLCA,3,F,,,,
1C,WR,N,311175078,MGWA,6800,2,S,H,M,H,9,3,0,0,4,0,0,1,0,58,12.2,300,9/8/11,92,BLCA,3,F,,,,
1C,WR,N,311175079,MGWA,6800,2,S,9,F,H,9,1,9,9,9,9,9,9,9,999,9.8,300,9/8/11,92,BLCA,2,F,,,,
