SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,TIME,LOC,SITE,NOTE?,NOTE
0,WR,N,272065058,AUWA,6560,2,S,J,M,H,9,2,0,0,1,2,0,1,0,77,12.6,300,8/21/13,104,COCA,6,F,
0,WR,N,272065059,ORJU,5671,2,S,J,U,9,9,0,0,0,2,0,0,0,0,73,14.8,300,8/21/13,104,COCA,3,F,
0,WR,N,272065060,YWAR,6520,3,A,C,M,A,C,9,0,1,2,0,0,1,0,62,8.7,300,8/22/13,82,BLCA,8,F,
0,WR,N,272065061,DUFL,4690,2,S,J,U,9,9,2,0,0,0,1,0,1,0,63,10,300,8/22/13,82,BLCA,7,F,
0,WR,N,272065062,ORJU,5671,2,S,J,U,9,9,9,9,9,0,9,9,9,9,999,18.3,300,8/22/13,90,BLCA,1,F,
0,WR,N,272065063,ORJU,5671,2,S,J,U,9,9,9,9,9,1,9,9,9,9,999,17.3,300,8/22/13,90,BLCA,1,F,
0,WR,N,272065064,ORJU,5671,2,S,J,U,9,9,9,9,9,1,9,9,9,9,999,16.5,300,8/22/13,90,BLCA,1,F,
0,WR,N,272065065,ORJU,5671,2,S,J,U,9,9,9,9,9,2,9,9,9,9,999,17.4,300,8/22/13,90,BLCA,1,F,
0,WR,N,272065066,ORJU,5671,2,S,J,U,9,9,9,9,9,0,1,0,9,9,999,17.5,300,8/22/13,90,BLCA,1,F,
0,WR,N,272065067,ORJU,5671,2,S,J,U,9,9,9,9,9,1,1,0,9,9,999,16.1,300,8/22/13,90,BLCA,1,F,
0,WR,N,272065068,ORJU,5671,2,S,J,U,9,9,9,9,9,1,3,0,9,9,999,19.4,300,8/22/13,90,BLCA,1,F,
0,WR,N,272065069,ORJU,5671,2,J,9,M,H,9,9,0,0,1,0,F,1,0,76,20.1,300,8/22/13,90,BLCA,1,F,
0,WR,N,272065070,MOCH,7380,3,I,M,U,9,9,9,0,0,0,3,F,1,0,65,11.5,300,8/22/13,93,BLCA,10,F,
0,WR,N,272065071,ORJU,5671,2,J,9,U,9,9,9,9,9,0,2,0,9,9,999,16.2,300,8/22/13,93,BLCA,10,F,
0,WR,N,272065072,ORJU,5671,2,J,9,U,9,9,9,9,9,1,1,9,9,9,999,17.6,300,8/22/13,93,BLCA,10,F,
0,WR,N,272065073,ORJU,5671,2,J,9,U,9,9,9,9,9,1,2,9,9,9,999,17.6,300,8/22/13,93,BLCA,10,F,
0,WR,N,272065074,ORJU,5671,2,J,9,U,9,9,9,9,9,0,1,9,9,9,999,16.5,300,8/22/13,93,BLCA,10,F,
0,WR,N,272065075,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,16.5,300,8/22/13,93,BLCA,10,F,
0,WR,N,272065076,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,18.4,300,8/22/13,93,BLCA,10,F,
0,WR,N,272065077,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,18.4,300,8/22/13,93,BLCA,10,F,
0,WR,N,272065078,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,17.6,300,8/22/13,93,BLCA,10,F,
0,WR,N,272065079,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,16.2,300,8/22/13,93,BLCA,10,F,
0,WR,N,272065080,DUFL,4690,2,S,J,U,9,9,3,9,9,1,9,9,9,9,999,9.8,300,8/22/13,100,BLCA,7,F,
0,WR,N,272065081,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,16.5,300,8/22/13,103,BLCA,6,F,
0,WR,N,272065082,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,18.5,300,8/22/13,103,BLCA,6,F,
0,WR,R,272065082,ORJU,5671,2,J,9,U,9,9,9,9,9,2,9,9,9,9,999,18.2,300,8/30/13,95,BLCA,8,F,
0,WR,N,272065083,ORJU,5671,3,A,C,M,A,C,6,9,1,2,1,9,9,9,999,18,300,8/22/13,103,BLCA,6,F,
0,WR,N,272065084,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,18.5,300,8/22/13,103,BLCA,6,F,
0,WR,N,272065085,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,17.8,300,8/22/13,103,BLCA,6,F,
0,WR,R,272065085,ORJU,5671,2,J,9,U,9,9,9,0,0,1,3,0,1,0,72,17.5,300,9/10/13,103,BLCA,10,F,
0,WR,N,272065086,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,16.5,300,8/22/13,103,BLCA,5,F,
0,WR,N,272065087,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,17.6,300,8/22/13,103,BLCA,1,F,
0,WR,N,272065088,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,16.1,300,8/22/13,103,BLCA,1,F,
0,WR,R,272065088,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,16.3,300,8/30/13,95,BLCA,8,F,
0,WR,N,272065089,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,16.5,300,8/22/13,103,BLCA,1,F,
0,WR,N,272065090,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,15.2,300,8/22/13,112,BLCA,8,F,
0,WR,N,272065091,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,17.7,300,8/22/13,112,BLCA,10,F,
0,WR,N,272065092,ORJU,5671,2,J,9,U,9,9,9,9,9,9,3,F,9,9,999,17.1,300,8/22/13,112,BLCA,10,F,
